"","scientific_name","common_name","partner_names","total","FedAg_w_collab","wo_FedAg_w_collab","count_w_FedAg_wo_collab","count_wo_FedAg_wo_collab","count_collab","count_w_FedAg_w_collab","count_wo_FedAg_w_collab"
"11","Fallicambarus gordoni","CAMP SHELBY BURROWING CRAYFISH","Mississippi Army National Guard, USFS, Mississippi Department of Wildlife Fisheries and Parks, USFWS",4,"Mississippi Army National Guard, USFS DeSoto National Forest, Mississippi Department of Wildlife Fisheries and Parks, USFWS Southeast Region","Mississippi Army National Guard, USFS, Mississippi Department of Wildlife Fisheries and Parks, USFWS",4,4,NA,4,4
"12","Synthyris ranunculina","CHARLESTON KITTENTAILS",NA,NA,"","",NA,NA,NA,0,0
"13","Castilleja christii","CHRISTÍS PAINTBRUSH","USFS,  USFWS",2,"USFS Minidoka Ranger District, USFS Sawtooth National Forest, USFWS Snake River Fish and Wildlife office","USFS, USFWS",3,2,NA,3,2
"14","Astragalus oophorus clokeyanus","CLOKEY'S EGGVETCH","Nevada Department of Conservation and Natural Resources, Clark County, USFS, USFWS, BLM, NPS, Nevada Department of Wildlife, Nevada Department of Transportation, Nevada Division of State Parks, U.S. Air Force, Boulder City",11,"Nevada Department of Conservation and Natural Resources, Clark County, USFS, USFWS, BLM, NPS, Nevada Department of Wildlife, Nevada Department of Transportation, Nevada Division of State Parks, U.S. Air Force, Boulder City","Nevada Department of Conservation and Natural Resources, Clark County, USFS, USFWS, BLM, NPS, Nevada Department of Wildlife, Nevada Department of Transportation, Nevada Division of State Parks, U.S. Air Force, Boulder City",11,11,NA,11,11
"15","Rana luteiventris","COLUMBIA SPOTTED FROG - GREAT BASIN DPS",NA,NA,"","",NA,NA,NA,0,0
"16","Rana luteiventris","COLUMBIA SPOTTED FROG - WASATCH FRONT POPULATION",NA,NA,"","",NA,NA,NA,0,0
"17","Rana luteiventris","COLUMBIA SPOTTED FROG - WEST DESERT POPULATION",NA,NA,"","",NA,NA,NA,0,0
"18","Polyctenium williamsiae","COMBLEAF",NA,NA,"","",NA,NA,NA,0,0
"19","Nerodia erythrogaster neglecta","COPPERBELLY WATER SNAKE","Illinois Department of Natural Resources, Indiana Department of Natural Resources, Kentucky Department of Fish and Wildlife Resources, Kentucky Coal Association, Kentucky Coal Country Association, Kentucky Farm Bureau, Kentucky Natural Resources and Environmental Cabinet, Western Kentucky Coal Association, USFWS, Office of Surface Mining Reclamation and Enforcement",10,"Illinois Department of Natural Resources, Indiana Department of Natural Resources, Kentucky Department of Fish and Wildlife Resources, Kentucky Coal Association, Kentucky Coal Country Association, Kentucky Farm Bureau, Kentucky Natural Resources and Environmental Cabinet, Western Kentucky Coal Association, USFWS, Office of Surface Mining Reclamation and Enforcement","Illinois Department of Natural Resources, Indiana Department of Natural Resources, Kentucky Department of Fish and Wildlife Resources, Kentucky Coal Association, Kentucky Coal Country Association, Kentucky Farm Bureau, Kentucky Natural Resources and Environmental Cabinet, Western Kentucky Coal Association, USFWS, Office of Surface Mining Reclamation and Enforcement",10,10,NA,10,10
"20","Cicindela albissima","CORAL PINK SAND DUNES TIGER BEETLE","Utah Division of Parks and Recreation, BLM, USFWS, Kane County",4,"Utah Division of Parks and Recreation, BLM Utah State office, USFWS Utah Field Office, Kane County","Utah Division of Parks and Recreation, BLM, USFWS, Kane County",4,4,NA,4,4
"21","Gila bicolor vaccaceps","COW HEAD TUI CHUB","private landowners of Cow Head Lake Cow Head Slough and California reach of Barrel Creek (four owners all CA signatories), principal permittees on BLM lands within the drainage, California and Modoc County Cattlemen's Associations, the California Farm Bureau Federation, BLM, California Department of Fish and Game",6,"private landowners of Cow Head Lake Cow Head Slough and California reach of Barrel Creek (four owners all CA signatories), principal permittees on BLM lands within the drainage, California and Modoc County Cattlemen's Associations, the California Farm Bureau Federation, BLM Surprise Field Office, California Department of Fish and Game","private landowners of Cow Head Lake Cow Head Slough and California reach of Barrel Creek (four owners all CA signatories), principal permittees on BLM lands within the drainage, California and Modoc County Cattlemen's Associations, the California Farm Bureau Federation, BLM, California Department of Fish and Game",6,6,NA,6,6
"22","Downingia concolor brevior","CUYAMAC LAKE DOWNINGIA","California Department of Fish and Wildlife Natural Heritage Division Endangered plant program",1,"California Department of Fish and Wildlife Natural Heritage Division Endangered plant program,Department of Biology San Diego State University","California Department of Fish and Wildlife Natural Heritage Division Endangered plant program,Department of Biology San Diego State University",1,1,1,2,2
"23","Cymopterus deserticola","DESERT CYMOPTERUS",NA,NA,"","",NA,NA,NA,0,0
"24","Sceloporus arenicolus","DUNES SAGEBRUSH LIZARD","USFWS, BLM, Center of Excellence for Hazardous Materials Management, NRCS, Texas A&M University, Texas Comptroller of Public Accounts, Texas Interagency Task Force on Economic Growth and Endangered Species, Texas Department of Agriculture, Texas Parks and Wildlife Department, Railroad Commission of Texas, University of Texas System - University Lands, Texas Farm Bureau, Texas Oil and Gas Association, Texas Royalty Council, Texas and Southwestern Cattle Raisers Association, Texas Wildlife Association, Texas Association of Business",17,"USFWS Southwest Region, BLM, Center of Excellence for Hazardous Materials Management, NRCS, Texas A&M University, Texas Comptroller of Public Accounts, Texas Interagency Task Force on Economic Growth and Endangered Species, Texas Department of Agriculture, Texas Parks and Wildlife Department, Railroad Commission of Texas, University of Texas System - University Lands, Texas Farm Bureau, Texas Oil and Gas Association, Texas Royalty Council, Texas and Southwestern Cattle Raisers Association, Texas Wildlife Association, Texas Association of Business","USFWS, BLM, Center of Excellence for Hazardous Materials Management, NRCS, Texas A&M University, Texas Comptroller of Public Accounts, Texas Interagency Task Force on Economic Growth and Endangered Species, Texas Department of Agriculture, Texas Parks and Wildlife Department, Railroad Commission of Texas, University of Texas System - University Lands, Texas Farm Bureau, Texas Oil and Gas Association, Texas Royalty Council, Texas and Southwestern Cattle Raisers Association, Texas Wildlife Association, Texas Association of Business",17,17,NA,17,17
