"","Scientific.name","agreement.number","partner.in.agreement","X1..Land.Water.Management","X2..Species.Management","X3..Awareness.raising","X4..law.enforcement.and.prosecution","X5..livelihood..economic.and.moral.incentrives","X6..Conservation.Design.and.Planning","X7..Legal.and.Policy.frameworks","X8..Research.and.monitoring","X9..Education.and.Training","X10..Institutional.Development","funding","Common.name","type_of_org"
"127","Pyrgulopsis morrisoni","doc 1 CCAA","USFWS",0,0,0,0,0,0,0,1,0,1,0,"PAGE SPRINGSNAIL","USFWS"
"128","Sceloporus arenicolus","doc 1 a CCA","BLM",0,0,0,0,0,1,1,1,0,1,0,"DUNES SAGEBRUSH LIZARD","BLM"
"129","Sceloporus arenicolus","doc 1 a CCA","Center of Excellence for Hazardous Materials Management (CEHMM)",0,0,0,0,1,0,1,1,1,1,1,"DUNES SAGEBRUSH LIZARD","N"
"130","Sceloporus arenicolus","doc 1 a CCA","New Mexico Department of Game and Fish",0,0,0,0,0,1,0,1,0,1,0,"DUNES SAGEBRUSH LIZARD","SW"
"131","Sceloporus arenicolus","doc 1 a CCA","Participating cooperators",1,0,0,0,0,1,0,0,0,1,1,"DUNES SAGEBRUSH LIZARD","P"
"132","Sceloporus arenicolus","doc 1 a CCA","USFWS",0,0,0,0,0,1,0,1,0,1,0,"DUNES SAGEBRUSH LIZARD","USFWS"
"133","Sceloporus arenicolus","doc 1 b CCAA","Center of Excellence for Hazardous Materials Management (CEHMM)",0,0,0,0,0,0,1,0,0,1,1,"DUNES SAGEBRUSH LIZARD","N"
"134","Sceloporus arenicolus","doc 1 b CCAA","New Mexico Department of Game and Fish",0,0,0,0,0,0,0,0,0,0,0,"DUNES SAGEBRUSH LIZARD","SW"
"135","Sceloporus arenicolus","doc 1 b CCAA","NRCS",0,0,0,0,0,0,0,0,1,0,0,"DUNES SAGEBRUSH LIZARD","FO"
"136","Sceloporus arenicolus","doc 1 b CCAA","Participating landowners",1,0,0,0,0,1,1,0,0,1,1,"DUNES SAGEBRUSH LIZARD","P"
"137","Sceloporus arenicolus","doc 1 b CCAA","USFWS",0,0,0,0,0,0,0,0,1,0,0,"DUNES SAGEBRUSH LIZARD","USFWS"
"138","Sceloporus arenicolus","doc 1 b CCAA","USFWS Southwest Region",0,0,0,0,0,0,1,0,0,1,1,"DUNES SAGEBRUSH LIZARD","USFWS"
"139","Sceloporus arenicolus","doc 1 b CCAA","USFWS Southwest Region",0,0,0,0,0,0,1,0,0,1,1,"DUNES SAGEBRUSH LIZARD","USFWS"
"140","Solidago plumosa","doc 1 cca","Alcoa Power Generating Inc",1,0,1,0,0,0,0,1,0,1,0,"YADKIN RIVER GOLDENROD","C"
"141","Solidago plumosa","doc 1 cca","North Carolina Department of Agriculture & Consumer Services Plant Conservation Program",0,0,0,0,0,0,0,1,0,0,0,"YADKIN RIVER GOLDENROD","SL"
"142","Solidago plumosa","doc 1 cca","USFWS Service Asheville Field Office",0,0,0,0,0,0,0,1,0,0,0,"YADKIN RIVER GOLDENROD","USFWS"
"143","Sonorella macrophallus","doc 1 Conservation Assessment and Strategy","Arizona Game and Fish Department",0,0,0,0,0,0,0,1,1,0,0,"WET CANYON TALUSSNAIL","SW"
"144","Sonorella macrophallus","doc 1 Conservation Assessment and Strategy","USFS Coronado National Forest Safford Ranger District",0,0,0,0,0,1,1,1,1,0,0,"WET CANYON TALUSSNAIL","USFS"
"145","Sonorella macrophallus","doc 1 Conservation Assessment and Strategy","USFWS Arizona Ecological Services Field Office",0,0,0,0,0,1,0,1,1,0,0,"WET CANYON TALUSSNAIL","USFWS"
"146","Sylvilagus transitionalis","doc 2 CCAA NH","EDF",0,0,0,0,0,0,0,0,0,0,0,"NEW ENGLAND COTTONTAIL","N"
"147","Sylvilagus transitionalis","doc 2 CCAA NH","New Hampshire Fish and Game",1,0,1,0,0,1,1,0,0,1,0,"NEW ENGLAND COTTONTAIL","SW"
"148","Sylvilagus transitionalis","doc 2 CCAA NH","USFWS",0,0,0,0,0,0,1,0,0,1,0,"NEW ENGLAND COTTONTAIL","USFWS"
"149","Sylvilagus transitionalis","doc 3 CCAA ME","EDF",0,0,0,0,0,0,0,0,0,0,0,"NEW ENGLAND COTTONTAIL","N"
"150","Sylvilagus transitionalis","doc 3 CCAA ME","Maine Department of Inland Fisheries and Wildlife",1,0,1,0,0,1,1,0,0,1,0,"NEW ENGLAND COTTONTAIL","SW"
"151","Sylvilagus transitionalis","doc 3 CCAA ME","USFWS",0,0,0,0,0,0,1,0,0,1,0,"NEW ENGLAND COTTONTAIL","USFWS"
"152","Thymallus arcticus","doc 1 CCAA","Montana Department of Natural Resources and Conservation",1,0,0,0,0,1,0,1,0,1,0,"ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS","SL"
"153","Thymallus arcticus","doc 1 CCAA","Natural Resources Conservation Service",1,0,0,0,0,1,0,1,0,1,1,"ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS","FO"
"154","Thymallus arcticus","doc 1 CCAA","Participating landowners",1,0,0,0,0,1,0,0,0,0,0,"ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS","P"
"155","Thymallus arcticus","doc 1 CCAA","USFWS",0,0,0,0,0,1,1,1,0,1,0,"ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS","USFWS"
"156","Thymallus arcticus","doc 2 Dillon Resource Management Plan (RMP)","BLM Dillon Field Office",1,0,0,0,0,1,1,0,0,0,0,"ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS","BLM"
