partner.in.agreement,Scientific.name,Common.name,agreement.number,Programatic..Y.N.,type.of.partners,"type_of_orgORactor(fed agency/division = F, wildlife/state agency = S, private landowner = P, ngo = N, researchers = R, coorporation/industry = c, other unspecifed entity = O)",type_of_org,notes,doc.link,notes.on.actions.taken..from.notes.tab.,Don.t.know.how.to.categorize.action...dump.text.here,X1..Land.Water.Management,X2..Species.Management,X3..Awareness.raising,X4..law.enforcement.and.prosecution,X5..livelihood..economic.and.moral.incentrives,X6..Conservation.Design.and.Planning,X7..Legal.and.Policy.frameworks,X8..Research.and.monitoring,X9..Education.and.Training,X10..Institutional.Development,funding
USFWS Utah Field Office,Cicindela albissima,CORAL PINK SAND DUNES TIGER BEETLE,doc 1 conservation agreement and strategy ,,S,F,USFWS,,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_772.pdf, ,,0,0,0,0,0,0,0,0,0,0,0
"USFWS Utah Field Office, BLM Utah State office",Cicindela albissima,CORAL PINK SAND DUNES TIGER BEETLE,doc 1 conservation agreement and strategy ,,M,,,,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_772.pdf, ,,0,0,0,0,0,0,0,0,0,0,1
Utah Department of Parks and Recreation ,Cicindela albissima,CORAL PINK SAND DUNES TIGER BEETLE,doc 1 conservation agreement and strategy , ,S,S,SL,,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_772.pdf, ,,0,0,0,0,0,0,0,0,0,0,0
??,Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,doc 1 b CCAA,,M?,,,,,,Technical assistance is available from the NRCS and FWS to develop plans to improve and maintain habitat for the LPC and/or SDL.,0,0,0,0,0,0,0,0,0,0,0
All parties,Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,doc 1 b CCAA,Y,M,,,,https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf, ,,0,0,0,0,0,0,1,0,0,1,1
BLM,Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,doc 1 a CCA,,S,F,BLM,,https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf, ,,0,0,0,0,0,0,1,1,0,0,0
Center of Excellence for Hazardous Materials Management (CEHMM),Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,doc 1 a CCA, ,S,N,N,,https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf, ,Determining the conservation commitment and enrolling Participating Cooperators in accordance with this CCA via CPs,0,0,0,0,1,0,1,1,1,1,1
Center of Excellence for Hazardous Materials Management (CEHMM),Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,doc 1 b CCAA,Y,S,N,N,,https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf, ,,0,0,0,0,0,0,1,0,0,1,1
New Mexico Department of Game and Fish,Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,doc 1 a CCA, ,X,S,SW,,https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf,"Purpose of this CCA - support ongoing efforts, especially those of New Mexico Department of Game and Fish
(NMDGF) to establish/re-establish and maintain viable populations of both species in
occupied and suitable, but unoccupied habitats", ,0,0,0,0,0,0,0,0,0,0,0
Participating cooperators,Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,doc 1 a CCA,yes?,????,O,O,,https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf,doc 1 structured so have conservation for species and the partner respnsibiltites are entwined with the praire chicken ,Completing any in-kind conservation measures outlined in their CP or contribute funding towards conservation measures (based on Appendix C); and / ,1,0,0,0,0,1,0,0,0,1,1
