"","partner.in.agreement","Scientific.name","Common.name","agreement.number","Programatic..Y.N.","type.of.partners","doc.link","notes.on.actions.taken..from.notes.tab.","Don.t.know.how.to.categorize.action...dump.text.here","X1..Land.Water.Management","X2..Species.Management","X3..Awareness.raising","X4..law.enforcement.and.prosecution","X5..livelihood..economic.and.moral.incentrives","X6..Conservation.Design.and.Planning","X7..Legal.and.Policy.frameworks","X8..Research.and.monitoring","X9..Education.and.Training","X10..Institutional.Development","funding"
"166","Idaho Governor's Office of Species Conservation","Urocitellus endemicus","SOUTHERN IDAHO GROUND SQUIRREL","doc 1 CCAA","Y","S","https://ecos.fws.gov/docs/plan_documents/ccaa/ccaa_302.pdf","Can tell some actions are joint because using the exact same frazing - worth combining these partners? (--> developing plans and species translocation)","","0","1","0","0","0","1","0","0","0","0","1"
"35","Illinois Department of Natural Resources, Indiana Department of Natural Resources, Kentucky Department of Fish and Wildlife Resources, Kentucky Natural Resources and Environmental Cabinet, USFWS, DOI Office of Surface MIning reclamation and Enforcement, Indiana Department of Natural Resources","Nerodia erythrogaster neglecta","COPPERBELLY WATER SNAKE","doc 1 website","N","G","https://www.fws.gov/Midwest/endangered/reptiles/cws/copprCAfcts.html#ag","Make note that putting partner names under agency grops","","1","0","0","1","0","1","1","0","1","0","0"
"180","Implementation and Monitoring Committee (IM Committee)","Urocitellus washingtoni","WASHINGTON GROUND SQUIRREL","doc 1 Douglas County Multiple Species General Conservation Plan","Y","M?","https://ecos.fws.gov/docs/plan_documents/thcp/thcp_1314.pdf","Different memebers have functional tasks?","","0","0","0","0","0","0","0","0","0","0","0"
"37","Indiana Coal Council","Nerodia erythrogaster neglecta","COPPERBELLY WATER SNAKE","doc 1 website","N","G","https://www.fws.gov/Midwest/endangered/reptiles/cws/copprCAfcts.html#ag"," ","","0","0","0","0","0","1","0","0","0","0","0"
"176","Individual Property HCP Development","Urocitellus washingtoni","WASHINGTON GROUND SQUIRREL","doc 1 Douglas County Multiple Species General Conservation Plan","Y","G","https://ecos.fws.gov/docs/plan_documents/thcp/thcp_1314.pdf","7 applicable here?","","1","1","0","0","0","1","1","0","0","1","0"
"118","John Hancock Mutual Life Insurace Company","Oncorhynchus mykiss ssp.","MCCLOUD RIVER REDBAND TROUT","doc 1 CCA","","S","https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5133598.pdf"," ","","0","0","0","0","0","0","0","0","0","0","0"
"45","Kane County","Cicindela albissima","CORAL PINK SAND DUNES TIGER BEETLE","doc 1 conservation agreement and strategy ","","S","https://ecos.fws.gov/docs/plan_documents/tcca/tcca_772.pdf"," ","","0","0","0","0","0","0","0","0","0","0","0"
"36","Kentucky Coal Association, Kentucky Coal Country Association, Kentucky Farm Bureau, Western Kentucky Coal Association,","Nerodia erythrogaster neglecta","COPPERBELLY WATER SNAKE","doc 1 website","N","G","https://www.fws.gov/Midwest/endangered/reptiles/cws/copprCAfcts.html#ag"," ","","1","0","1","0","0","1","0","0","0","0","0"
"47","Kern County ","Cymopterus deserticola","DESERT CYMOPTERUS","doc 1 Appendix B Chapter","","G","https://www.blm.gov/ca/pdfs/cdd_pdfs/wemo_pdfs/plan/wemo/Vol-2-Complete-Bookmarks.pdf"," ","","1","0","0","0","0","0","0","1","0","0","0"
"149","Lincoln National Forest","Euphydryas anicia cloudcrofti","SACRAMENTO MOUNTAINS CHECKERSPOT BUTTERFLY","doc 1 conservation plan ","N","G","https://www.fws.gov/southwest/es/NewMexico/documents/SMCB_Final_11_1_05.pdf"," ","","1","0","0","0","0","0","0","1","0","0","1"
